Dates ;NO2 CINQAV microg/m3 ;O3 CINQAV microg/m3 ;PM2.5 CINQAV microg/m3 ;PM10 CINQAV microg/m3 ;SO2 CINQAV microg/m3 ;NO2 STLOUI microg/m3 ;PM10 STLOUI microg/m3 
01/01/2008 01:00;70;4;73;78;0;56;54
01/01/2008 02:00;60;4;75;81;0;53;55
01/01/2008 03:00;59;4;60;66;0;42;50
01/01/2008 04:00;58;4;47;53;0;40;46
01/01/2008 05:00;61;2;43;48;0;35;43
01/01/2008 06:00;51;10;37;44;0;38;40
01/01/2008 07:00;41;21;30;36;0;53;37
01/01/2008 08:00;42;22;27;33;0;48;35
01/01/2008 09:00;39;26;26;32;0;51;39
01/01/2008 10:00;28;35;26;33;2;58;44
01/01/2008 11:00;43;30;28;35;5;30;41
01/01/2008 12:00;20;51;28;35;7;14;33
01/01/2008 13:00;17;55;25;32;6;10;29
01/01/2008 14:00;33;42;26;32;4;41;31
01/01/2008 15:00;63;20;31;40;4;59;43
01/01/2008 16:00;77;10;38;47;3;64;54
01/01/2008 17:00;85;6;42;52;2;72;58
01/01/2008 18:00;87;3;47;59;2;73;57
01/01/2008 19:00;84;4;67;76;1;85;59
01/01/2008 20:00;75;5;66;75;0;85;60
01/01/2008 21:00;58;13;53;61;0;25;51
01/01/2008 22:00;61;10;52;58;0;25;39
01/01/2008 23:00;36;30;46;52;0;14;38
39449;27;34;37;43;0;10;33
02/01/2008 01:00;25;36;31;37;0;11;31
02/01/2008 02:00;29;29;29;35;0;11;32
02/01/2008 03:00;28;30;28;33;0;10;29
02/01/2008 04:00;20;40;26;32;0;10;29
02/01/2008 05:00;28;35;25;30;0;11;29
02/01/2008 06:00;40;26;25;29;0;14;28
02/01/2008 07:00;52;17;25;31;0;26;29
02/01/2008 08:00;46;20;25;32;0;30;32
02/01/2008 09:00;56;16;28;37;0;36;34
02/01/2008 10:00;30;38;29;39;1;27;35
02/01/2008 11:00;24;45;26;38;2;25;36
02/01/2008 12:00;19;51;26;37;3;21;38
02/01/2008 13:00;18;53;28;38;2;19;38
02/01/2008 14:00;17;52;29;40;2;22;40
02/01/2008 15:00;22;48;27;36;1;24;39
02/01/2008 16:00;22;46;24;30;0;16;40
02/01/2008 17:00;29;40;24;29;0;16;37
02/01/2008 18:00;29;40;22;26;0;13;38
02/01/2008 19:00;26;43;23;27;0;16;36
02/01/2008 20:00;22;46;23;28;0;14;32
02/01/2008 21:00;13;51;23;27;0;10;31
02/01/2008 22:00;15;47;23;27;0;10;32
02/01/2008 23:00;15;46;23;26;0;9;37
39450;12;47;20;21;0;12;30
03/01/2008 01:00;11;48;9;10;1;11;13
03/01/2008 02:00;10;50;9;10;0;8;10
03/01/2008 03:00;10;50;9;10;0;10;10
03/01/2008 04:00;11;49;9;10;0;9;10
03/01/2008 05:00;12;50;7;9;0;11;11
03/01/2008 06:00;14;49;10;13;1;14;13
03/01/2008 07:00;19;44;10;14;1;21;17
03/01/2008 08:00;21;44;10;16;1;24;23
03/01/2008 09:00;18;46;12;21;1;;21
03/01/2008 10:00;16;47;12;21;1;18;23
03/01/2008 11:00;17;46;12;21;2;19;26
03/01/2008 12:00;;52;12;22;;16;21
03/01/2008 13:00;14;57;10;;2;18;17
03/01/2008 14:00;21;48;11;;2;20;18
03/01/2008 15:00;19;52;11;;2;19;18
03/01/2008 16:00;20;51;11;17;1;20;18
03/01/2008 17:00;19;52;11;18;1;18;18
03/01/2008 18:00;19;54;12;19;1;17;21
03/01/2008 19:00;14;56;12;18;0;13;18
03/01/2008 20:00;12;58;11;17;0;13;16
03/01/2008 21:00;9;60;11;17;1;10;15
03/01/2008 22:00;8;59;14;20;1;9;19
03/01/2008 23:00;8;58;11;15;1;8;14
39451;7;60;10;14;0;5;12
04/01/2008 01:00;6;61;6;9;0;4;8
04/01/2008 02:00;6;63;7;11;0;4;10
04/01/2008 03:00;5;63;9;12;0;4;11
04/01/2008 04:00;5;66;7;10;0;4;9
04/01/2008 05:00;7;65;6;9;0;9;8
04/01/2008 06:00;11;62;7;10;0;14;8
04/01/2008 07:00;15;55;8;11;0;20;10
04/01/2008 08:00;21;50;8;12;1;21;12
04/01/2008 09:00;22;45;13;16;0;20;15
04/01/2008 10:00;26;40;11;16;0;29;14
04/01/2008 11:00;25;42;9;14;0;32;13
04/01/2008 12:00;24;42;9;12;0;21;11
04/01/2008 13:00;23;42;7;11;0;15;8
04/01/2008 14:00;32;35;6;11;0;15;6
04/01/2008 15:00;32;36;8;11;0;13;8
04/01/2008 16:00;27;43;8;12;0;15;10
04/01/2008 17:00;31;43;12;15;0;15;11
04/01/2008 18:00;25;49;10;14;0;14;11
04/01/2008 19:00;33;43;8;14;0;11;8
04/01/2008 20:00;30;46;8;13;1;11;8
04/01/2008 21:00;30;43;9;14;1;8;9
04/01/2008 22:00;30;41;9;13;0;8;9
04/01/2008 23:00;54;18;13;16;1;7;9
39452;35;36;13;17;0;6;11
05/01/2008 01:00;36;34;13;16;0;6;12
05/01/2008 02:00;29;41;12;17;0;5;13
05/01/2008 03:00;21;47;12;17;0;5;15
05/01/2008 04:00;16;48;14;17;0;5;16
05/01/2008 05:00;26;41;17;19;0;18;19
05/01/2008 06:00;52;14;15;20;0;25;17
05/01/2008 07:00;42;22;15;19;0;41;18
05/01/2008 08:00;28;36;14;19;0;70;24
05/01/2008 09:00;34;28;16;18;0;59;30
05/01/2008 10:00;39;23;19;21;0;45;29
05/01/2008 11:00;34;29;16;20;0;42;30
05/01/2008 12:00;28;36;13;19;0;29;25
05/01/2008 13:00;25;37;16;26;0;30;28
05/01/2008 14:00;33;30;17;30;0;40;35
05/01/2008 15:00;35;27;21;33;0;35;36
05/01/2008 16:00;38;23;22;33;0;32;35
05/01/2008 17:00;34;29;24;40;0;40;44
05/01/2008 18:00;33;31;26;45;0;32;50
05/01/2008 19:00;42;22;30;48;0;42;53
05/01/2008 20:00;35;28;31;50;0;28;51
05/01/2008 21:00;29;31;29;42;0;31;43
05/01/2008 22:00;27;35;25;31;0;34;36
05/01/2008 23:00;18;55;22;28;0;23;32
39453;13;58;15;22;0;12;24
06/01/2008 01:00;13;53;7;15;0;7;14
06/01/2008 02:00;27;32;8;13;0;12;11
06/01/2008 03:00;30;27;10;14;0;12;14
06/01/2008 04:00;33;21;11;14;0;15;13
06/01/2008 05:00;30;18;12;15;0;17;15
06/01/2008 06:00;38;11;11;16;0;24;17
06/01/2008 07:00;44;3;13;17;0;38;28
06/01/2008 08:00;52;1;16;22;3;32;28
06/01/2008 09:00;50;4;21;28;14;41;31
06/01/2008 10:00;42;12;26;34;31;41;35
06/01/2008 11:00;33;17;22;32;19;28;29
06/01/2008 12:00;28;30;14;25;27;28;20
06/01/2008 13:00;22;37;13;21;15;20;19
06/01/2008 14:00;27;32;18;24;8;20;22
06/01/2008 15:00;37;26;15;21;10;26;19
06/01/2008 16:00;42;18;19;24;20;32;25
06/01/2008 17:00;52;8;19;24;13;42;26
06/01/2008 18:00;56;5;21;27;6;45;28
06/01/2008 19:00;63;3;21;30;4;45;26
06/01/2008 20:00;63;3;22;30;8;57;30
06/01/2008 21:00;60;0;26;34;58;62;34
06/01/2008 22:00;42;9;23;29;25;58;37
06/01/2008 23:00;49;2;21;25;14;55;40
39454;39;9;22;26;11;45;37
07/01/2008 01:00;37;10;19;23;9;36;27
07/01/2008 02:00;48;2;18;23;8;39;24
07/01/2008 03:00;40;7;19;24;21;31;23
07/01/2008 04:00;45;1;17;22;16;36;22
07/01/2008 05:00;51;0;19;24;15;46;25
07/01/2008 06:00;61;0;25;31;13;51;28
07/01/2008 07:00;63;0;29;37;11;99;37
07/01/2008 08:00;63;0;31;40;12;130;70
07/01/2008 09:00;74;2;37;49;14;138;97
07/01/2008 10:00;100;2;47;70;17;111;103
07/01/2008 11:00;91;4;45;75;45;75;75
07/01/2008 12:00;56;12;36;61;39;46;50
07/01/2008 13:00;39;21;20;36;17;36;29
07/01/2008 14:00;46;15;14;24;27;40;21
07/01/2008 15:00;51;10;22;27;16;42;30
07/01/2008 16:00;55;5;17;28;13;51;25
07/01/2008 17:00;62;1;14;28;8;55;27
07/01/2008 18:00;41;25;13;26;3;42;25
07/01/2008 19:00;28;48;10;18;1;27;18
07/01/2008 20:00;26;52;9;16;1;17;13
07/01/2008 21:00;23;53;13;17;0;13;16
07/01/2008 22:00;19;54;13;17;0;14;17
07/01/2008 23:00;16;54;12;18;0;16;17
39455;16;51;9;17;2;11;14
08/01/2008 01:00;15;51;6;12;2;11;11
08/01/2008 02:00;12;53;5;11;2;9;10
08/01/2008 03:00;15;47;7;12;1;15;11
08/01/2008 04:00;20;39;10;16;1;18;15
08/01/2008 05:00;41;15;11;18;2;32;17
08/01/2008 06:00;60;1;12;24;4;64;21
08/01/2008 07:00;70;0;16;36;3;98;39
08/01/2008 08:00;76;1;15;36;4;104;88
08/01/2008 09:00;67;7;18;39;4;96;73
08/01/2008 10:00;62;13;19;45;4;107;73
08/01/2008 11:00;49;26;18;36;5;65;66
08/01/2008 12:00;39;37;19;33;5;68;37
08/01/2008 13:00;55;29;15;27;10;71;29
08/01/2008 14:00;58;25;19;32;9;60;27
08/01/2008 15:00;32;46;17;28;5;56;29
08/01/2008 16:00;41;38;16;25;4;61;30
08/01/2008 17:00;57;21;15;24;4;69;32
08/01/2008 18:00;81;5;17;30;4;91;40
08/01/2008 19:00;76;7;26;43;3;75;51
08/01/2008 20:00;79;3;28;47;4;72;37
08/01/2008 21:00;71;2;37;54;3;67;38
08/01/2008 22:00;62;2;36;48;3;57;34
08/01/2008 23:00;51;12;34;43;3;55;28
39456;30;31;26;36;3;51;28
09/01/2008 01:00;25;34;22;30;2;41;32
09/01/2008 02:00;23;35;20;27;2;16;24
09/01/2008 03:00;19;39;19;25;1;31;23
09/01/2008 04:00;16;41;17;23;1;35;20
09/01/2008 05:00;23;33;17;27;1;62;23
09/01/2008 06:00;41;20;17;29;1;76;36
