POSTE;DATE;RR1;DRR1;T;FF;DD;U
13054001;2008010100;0;0;0,1;2,7;10;83
13054001;2008010101;0;0;-0,5;4,3;340;83
13054001;2008010102;0;0;-1;1;80;85
13054001;2008010103;0;0;-1,2;0,7;130;85
13054001;2008010104;0;0;-1,7;1,4;120;86
13054001;2008010105;0;0;-1,1;1,9;190;83
13054001;2008010106;0;0;-1,9;2,2;140;84
13054001;2008010107;0;0;-2,2;1,6;130;85
13054001;2008010108;0;0;-1,5;0,9;150;86
13054001;2008010109;0;0;2,1;0,6;210;73
13054001;2008010110;0;0;3,9;0,8;280;70
13054001;2008010111;0;0;7,7;0,9;200;58
13054001;2008010112;0;0;9,4;1,7;270;51
13054001;2008010113;0;0;9,9;2;270;49
13054001;2008010114;0;0;10,1;1,7;190;48
13054001;2008010115;0;0;10,2;1,5;200;48
13054001;2008010116;0;0;8,7;1,1;150;55
13054001;2008010117;0;0;6,7;0,5;140;66
13054001;2008010118;0;0;4,4;1,6;170;73
13054001;2008010119;0;0;4,8;2,4;150;75
13054001;2008010120;0;0;4;0,8;110;77
13054001;2008010121;0;0;3;1,2;230;82
13054001;2008010122;0;0;4,1;1,3;130;87
13054001;2008010123;0;0;6,9;1,7;140;77
13054001;2008010200;0;0;7,9;3,2;120;73
13054001;2008010201;0;0;7,7;5,8;100;72
13054001;2008010202;0;0;7,4;6,5;100;72
13054001;2008010203;0;0;7,2;5,9;100;71
13054001;2008010204;0;0;7;5,6;110;72
13054001;2008010205;0;0;7,4;5,9;110;72
13054001;2008010206;0;0;7,2;5,5;100;75
13054001;2008010207;0;0;7,5;7;100;73
13054001;2008010208;0;0;8;5;110;73
13054001;2008010209;0;0;9,4;5;100;67
13054001;2008010210;0;0;10;8;90;65
13054001;2008010211;0;0;10,4;8;100;63
13054001;2008010212;0;0;11;8;100;59
13054001;2008010213;0;0;10,6;9;90;62
13054001;2008010214;0;0;10,5;10;90;63
13054001;2008010215;0;0;9,6;9;90;66
13054001;2008010216;0;0;8,9;11;90;67
13054001;2008010217;0;0;8,5;11;100;69
13054001;2008010218;0;0;8,4;12;90;69
13054001;2008010219;0;0;8,4;11;100;69
13054001;2008010220;0;0;8,3;9;90;67
13054001;2008010221;0;0;8,4;10;110;66
13054001;2008010222;0;0;7,9;14;90;67
13054001;2008010223;0;0;7,6;12;90;68
13054001;2008010300;0;33;7,1;12;90;72
13054001;2008010301;0;30;7;13;100;70
13054001;2008010302;0;30;6,9;12;90;71
13054001;2008010303;0;0;7,1;13;90;69
13054001;2008010304;0;0;7,3;13;100;68
13054001;2008010305;0;0;7,5;12;100;66
13054001;2008010306;0;0;8,2;12;100;65
13054001;2008010307;0;0;8;12,9;100;64
13054001;2008010308;0;0;8,5;12,4;100;63
13054001;2008010309;0;0;9;10,6;100;64
13054001;2008010310;0;0;10,3;8,6;90;59
13054001;2008010311;0;0;11,7;6,9;100;58
13054001;2008010312;0;0;11,5;9,5;90;57
13054001;2008010313;0;0;12,1;7,7;110;56
13054001;2008010314;0;0;11,5;11,2;120;60
13054001;2008010315;0;0;11;11,2;120;61
13054001;2008010316;0;0;10,2;9,2;100;66
13054001;2008010317;0;0;10;8,4;100;67
13054001;2008010318;0;0;9,9;11,1;100;69
13054001;2008010319;0;0;9,7;11,9;100;72
13054001;2008010320;0;0;9,8;11,5;100;71
13054001;2008010321;0;0;9,9;9,4;100;70
13054001;2008010322;0,2;26;9,8;10,9;90;73
13054001;2008010323;0,2;60;9,6;9,9;90;77
