POSTE;DATE;RR;DRR;TN;TX;TM;FFM;DXY;UM
13054001;20080101;0,0;0;-2,3;10,7;3,9;1,5;320;72
13054001;20080102;0,0;93;2,7;11,4;8,5;8,6;100;68
13054001;20080103;0,4;371;6,9;12,9;9,5;10,7;90;66
13054001;20080104;14,2;635;9,6;12,0;11,0;9,5;90;73
13054001;20080105;4,0;761;8,7;12,3;10,5;2,8;130;85
13054001;20080106;0,0;0;10,0;14,8;11,1;2,1;160;90
13054001;20080107;0,0;23;5,6;13,8;10,2;3,1;340;86
13054001;20080108;0,0;0;2,3;12,3;8,0;2,1;340;78
13054001;20080109;0,2;97;7,5;12,1;10,0;1,6;90;84
13054001;20080110;0,2;26;6,1;12,9;10,6;2,3;120;88
13054001;20080111;10,4;301;11,5;15,4;13,4;7,7;150;85
13054001;20080112;0,0;0;6,1;10,7;8,0;9,9;320;73
13054001;20080113;0,0;0;1,6;14,0;8,1;4,3;340;69
13054001;20080114;15,2;462;8,7;13,5;10,8;7,1;130;79
13054001;20080115;1,6;125;3,9;14,1;9,8;5,1;140;79
13054001;20080116;0,0;0;9,2;12,1;10,3;4,3;150;80
13054001;20080117;0,0;0;2,9;13,5;8,5;3,2;300;76
13054001;20080118;0,0;0;5,1;17,2;11,0;5,2;320;75
13054001;20080119;0,0;0;7,7;17,9;12,1;4,1;340;69
13054001;20080120;0,0;0;5,1;13,3;9,6;1,0;140;87
13054001;20080121;0,0;0;5,6;13,1;8,9;1,5;290;85
13054001;20080122;0,0;0;4,0;15,7;10,0;8,8;320;70
13054001;20080123;0,0;0;2,8;14,3;7,5;3,0;350;62
13054001;20080124;0,0;0;2,8;14,1;7,5;1,3;150;72
13054001;20080125;0,0;0;2,4;12,5;6,7;1,8;330;79
13054001;20080126;0,0;0;0,6;15,8;6,6;1,3;150;77
13054001;20080127;0,0;0;0,1;13,5;6,5;3,4;330;65
13054001;20080128;0,0;0;1,9;17,8;7,9;1,6;140;57
13054001;20080129;0,0;18;1,8;15,5;9,1;1,6;160;79
13054001;20080130;0,0;0;6,2;13,4;9,2;3,7;340;76
13054001;20080131;0,0;0;5,4;10,4;6,6;6,2;340;65
13054001;20080201;15,2;369;1,4;11,7;7,4;2,0;300;74
13054001;20080202;0,6;19;6,3;10,3;7,0;6,3;330;75
13054001;20080203;3,6;200;1,4;14,4;8,6;5,6;130;71
13054001;20080204;19,0;235;5,9;11,4;8,9;7,1;210;77
13054001;20080205;0,0;0;4,2;12,7;7,3;3,5;300;71
13054001;20080206;0,0;0;2,3;16,5;9,8;4,8;330;70
13054001;20080207;0,0;0;9,2;17,0;10,9;4,6;330;61
13054001;20080208;0,0;0;1,5;16,9;7,8;1,4;190;75
13054001;20080209;0,0;0;2,6;14,3;7,5;1,7;250;78
13054001;20080210;0,0;0;2,1;14,0;7,1;1,5;240;82
13054001;20080211;0,0;0;2,3;14,0;7,7;1,6;310;75
13054001;20080212;0,0;0;2,3;13,8;7,3;2,0;250;74
13054001;20080213;0,0;0;1,8;14,2;7,0;1,8;260;76
13054001;20080214;0,0;0;1,3;14,3;6,9;1,6;260;77
13054001;20080215;0,0;;0,8;12,1;5,5;1,9;280;78
13054001;20080216;0,0;0;-0,3;14,1;6,2;1,8;190;78
13054001;20080217;0,0;0;5,1;12,5;9,5;3,9;130;62
13054001;20080218;0,0;0;5,9;14,1;9,1;3,5;90;65
13054001;20080219;0,0;0;7,1;13,5;9,6;4,8;150;62
13054001;20080220;0,0;0;7,1;17,1;11,6;3,1;150;61
13054001;20080221;0,0;0;4,6;16,1;9,9;1,9;250;80
13054001;20080222;0,0;0;6,1;16,5;10,1;2,0;200;85
13054001;20080223;0,0;0;7,8;15,8;11,5;2,3;110;81
13054001;20080224;0,0;0;9,0;16,1;12,1;4,2;160;73
13054001;20080225;0,0;0;9,8;15,6;11,7;2,7;80;78
13054001;20080226;0,0;0;9,7;14,9;12,6;1,5;210;84
13054001;20080227;0,0;0;10,3;18,5;13,6;3,5;340;76
13054001;20080228;0,0;0;7,7;17,9;12,6;2,0;320;74
13054001;20080229;0,0;0;8,5;17,6;12,6;1,6;250;85
13054001;20080301;0,0;0;9,3;19,4;14,4;8,4;290;71
13054001;20080302;0,0;0;11,2;21,3;15,1;6,3;300;61
13054001;20080303;0,0;0;6,5;19,3;13,2;7,1;310;64
13054001;20080304;0,0;0;7,0;12,8;8,8;11,3;340;55
13054001;20080305;0,0;;4,8;11,3;7,2;12,0;350;46
13054001;20080306;0,0;0;0,9;10,9;5,9;6,3;350;40
13054001;20080307;0,0;0;4,7;10,2;7,3;5,4;340;39
13054001;20080308;0,0;0;4,0;16,5;10,0;4,1;350;62
13054001;20080309;4,0;673;5,1;13,8;9,9;3,2;140;81
13054001;20080310;1,0;330;7,6;12,2;10,1;3,6;190;83
13054001;20080311;0,0;0;7,5;14,7;11,7;5,0;280;74
13054001;20080312;0,0;0;11,0;18,0;14,0;7,1;280;65
13054001;20080313;0,0;0;8,9;17,1;12,9;7,1;330;53
13054001;20080314;0,0;0;6,3;21,7;13,2;3,1;250;66
13054001;20080315;0,0;0;9,4;18,1;13,5;3,8;140;74
13054001;20080316;0,0;0;8,7;17,3;13,3;5,5;290;64
13054001;20080317;0,0;0;10,2;17,7;13,2;6,6;340;61
13054001;20080318;0,0;0;8,0;14,4;10,3;6,9;330;60
13054001;20080319;0,0;0;3,3;14,9;8,6;5,7;340;52
13054001;20080320;0,0;0;3,4;13,5;8,5;10,4;340;46
13054001;20080321;2,0;112;4,8;12,8;8,9;9,0;250;66
13054001;20080322;0,0;0;5,3;13,6;9,1;5,1;340;61
13054001;20080323;0,2;70;4,5;11,1;7,1;11,1;330;52
13054001;20080324;0,2;76;0,7;10,4;6,1;7,3;330;56
13054001;20080325;0,0;0;5,9;12,6;9,4;10,7;350;53
13054001;20080326;0,2;69;4,7;14,5;10,0;4,8;330;63
13054001;20080327;0,0;0;6,5;15,1;10,2;6,4;250;60
13054001;20080328;0,0;0;6,2;18,1;11,9;4,7;350;52
13054001;20080329;0,0;0;8,7;19,7;13,1;5,3;320;54
13054001;20080330;0,0;151;9,3;16,5;13,4;5,8;130;62
13054001;20080331;9,2;506;8,8;12,4;10,7;4,5;340;82
13054001;20080401;0,0;0;8,1;19,2;14,0;7,0;340;58
13054001;20080402;0,0;0;9,0;20,1;15,4;11,7;330;46
13054001;20080403;0,0;0;11,8;17,9;14,4;12,1;330;49
13054001;20080404;0,0;0;5,2;19,5;12,6;4,2;350;51
13054001;20080405;0,0;0;4,6;20,6;12,4;3,6;250;59
13054001;20080406;0,0;0;6,5;18,2;12,9;5,8;290;58
13054001;20080407;0,0;0;6,6;14,9;11,0;6,4;310;35
13054001;20080408;0,0;81;8,4;14,5;12,1;5,0;130;58
13054001;20080409;0,4;114;10,8;17,4;14,5;5,4;130;77
13054001;20080410;0,0;33;12,8;21,2;17,3;5,8;160;69
13054001;20080411;4,8;125;9,7;16,7;13,1;7,3;330;71
13054001;20080412;0,0;0;8,2;17,2;12,5;9,4;320;54
13054001;20080413;2,8;45;6,8;18,1;12,8;3,7;260;68
13054001;20080414;0,0;0;9,0;17,9;13,0;7,8;330;58
13054001;20080415;0,0;0;7,9;16,4;12,0;10,3;340;47
13054001;20080416;0,0;4;6,3;16,9;11,3;3,3;330;58
13054001;20080417;13,8;301;9,6;16,0;12,1;5,1;160;69
13054001;20080418;5,0;236;8,7;16,3;12,4;5,9;110;78
13054001;20080419;0,0;0;7,5;19,4;13,9;4,5;160;65
13054001;20080420;18,4;615;13,1;19,7;14,9;9,0;130;75
13054001;20080421;0,0;0;10,2;18,6;14,0;4,5;260;74
13054001;20080422;0,0;0;11,6;19,3;14,9;9,2;290;65
13054001;20080423;0,0;0;11,8;22,1;17,3;8,3;320;58
13054001;20080424;0,0;0;13,0;23,1;18,2;4,8;320;56
13054001;20080425;0,0;0;13,5;22,4;18,1;6,8;330;49
13054001;20080426;0,0;0;10,2;23,6;16,8;3,2;350;55
13054001;20080427;0,0;0;10,1;22,3;16,0;3,1;190;54
13054001;20080428;10,6;300;11,7;18,0;15,0;5,4;150;64
13054001;20080429;0,0;32;7,7;18,8;13,7;3,8;260;70
13054001;20080430;4,6;200;12,6;17,8;14,5;4,9;340;73
13054001;20080501;0,0;0;7,8;20,7;14,3;2,5;260;59
13054001;20080502;0,0;0;9,3;23,4;16,0;2,2;250;51
13054001;20080503;0,0;0;10,2;25,5;17,6;2,4;260;52
13054001;20080504;0,0;0;11,2;24,1;18,0;2,4;270;45
13054001;20080505;11,2;470;11,7;25,5;18,5;2,6;190;58
13054001;20080506;0,0;166;15,2;19,4;16,4;1,6;270;78
13054001;20080507;0,0;0;11,1;23,6;17,5;3,0;190;61
13054001;20080508;0,0;0;11,2;24,1;17,8;3,4;190;55
13054001;20080509;0,0;0;14,0;23,0;18,7;3,9;160;54
13054001;20080510;0,0;0;16,0;26,9;21,4;5,1;110;41
13054001;20080511;0,0;0;15,6;24,9;19,0;4,2;190;59
13054001;20080512;1,0;275;14,0;21,8;17,0;2,7;310;69
13054001;20080513;0,0;0;14,3;20,6;17,0;2,0;100;71
13054001;20080514;0,2;;11,7;24,8;18,1;2,6;200;66
13054001;20080515;0,0;0;15,5;21,4;18,3;4,5;160;69
13054001;20080516;3,6;273;15,4;19,6;17,1;3,4;90;75
13054001;20080517;13,8;193;14,5;23,5;18,2;2,6;220;78
13054001;20080518;0,0;0;14,0;24,6;19,0;4,6;260;70
13054001;20080519;0,8;101;12,7;23,1;17,2;2,7;70;74
13054001;20080520;0,0;0;15,4;23,4;19,1;8,2;330;60
13054001;20080521;0,0;0;15,0;24,4;19,2;5,3;300;52
